doc_id,total_requirements_c9,document_quality_score,avg_clarity_score,avg_testability_score,avg_measurability_score,avg_classification_reliability_score,avg_ambiguity_safety_score,avg_visual_context_score,avg_completeness_score,avg_deep_quality_confidence,avg_vision_confidence,critical_requirements_c9,weak_requirements_c9,review_needed_requirements_c9,good_requirements_c9,excellent_requirements_c9,ambiguous_requirements_c9,uncertain_ambiguity_requirements_c9,uncertain_fr_nfr_requirements,low_vision_confidence_requirements_c9,vision_page_mismatch_requirements_c9,document_vision_quality_flag,document_quality_level,critical_ratio,weak_or_critical_ratio_c9,ambiguous_ratio,vision_mismatch_ratio,document_review_priority,total_requirements,avg_requirement_quality_score,excellent_requirements,good_requirements,review_needed_requirements,weak_requirements,critical_requirements,ambiguous_requirements,uncertain_ambiguity_requirements,low_vision_confidence_requirements,vision_page_mismatch_requirements,llm_rewrites_available,weak_or_critical_requirements,weak_or_critical_ratio,ambiguity_ratio,rewrite_coverage_ratio,final_document_status
0000 cctns,109,71.38,77.52,77.25,72.71,78.55,48.14,67.43,94.39,0.89,0.69,1,14,44,21,29,59,9,29,48,1,moderate_visual_structure,GOOD,0.009,0.138,0.541,0.009,HIGH_PRIORITY_REVIEW,109,71.38,29,21,44,14,1,59,9,48,1,31,15,0.138,0.541,2.067,CRITICAL_DOCUMENT_REVIEW
0000 cctns scanned,33,74.84,74.24,80.0,76.82,78.59,55.6,79.52,98.18,0.82,0.8,0,4,8,11,10,15,3,9,0,0,moderate_visual_structure,GOOD,0.0,0.121,0.455,0.0,HIGH_PRIORITY_REVIEW,33,74.84,10,11,8,4,0,15,3,0,0,4,4,0.121,0.455,1.0,AMBIGUITY_REVIEW
0000 gamma j,123,88.53,95.49,93.33,83.82,85.44,90.43,78.96,96.29,0.87,0.84,0,0,6,30,87,10,2,21,3,18,moderate_visual_structure,EXCELLENT,0.0,0.0,0.081,0.146,LOW_PRIORITY_REVIEW,123,88.53,87,30,6,0,0,10,2,3,18,3,0,0.0,0.081,0.0,HIGH_QUALITY_DOCUMENT
0000 gamma j scanned,56,89.75,92.5,93.21,87.95,93.46,89.39,75.75,97.43,0.92,0.82,0,1,4,6,45,4,3,3,6,12,moderate_visual_structure,EXCELLENT,0.0,0.018,0.071,0.214,LOW_PRIORITY_REVIEW,56,89.75,45,6,4,1,0,4,3,6,12,1,1,0.018,0.071,1.0,HIGH_QUALITY_DOCUMENT
0000 inventory,10,75.32,86.0,84.0,64.0,93.02,60.41,56.72,95.2,0.86,0.7,0,1,3,3,3,4,0,0,1,5,moderate_visual_structure,GOOD,0.0,0.1,0.4,0.5,HIGH_PRIORITY_REVIEW,10,75.32,3,3,3,1,0,4,0,1,5,3,1,0.1,0.4,3.0,AMBIGUITY_REVIEW
0000 inventory scanned,7,74.32,79.29,82.86,82.86,80.99,52.02,69.13,78.29,0.83,0.72,0,0,3,3,1,3,1,2,0,3,strong_visual_structure,GOOD,0.0,0.0,0.429,0.429,HIGH_PRIORITY_REVIEW,7,74.32,1,3,3,0,0,3,1,0,3,2,0,0.0,0.429,0.0,AMBIGUITY_REVIEW
1995 gemini,424,82.5,88.24,83.86,83.87,78.75,72.23,91.23,90.44,0.85,0.99,0,13,68,116,227,102,46,120,2,0,moderate_visual_structure,GOOD,0.0,0.031,0.241,0.0,MEDIUM_PRIORITY_REVIEW,424,82.5,227,116,68,13,0,102,46,2,0,20,13,0.031,0.241,1.538,GOOD_DOCUMENT
1998 themas,117,89.45,91.79,88.12,98.72,94.53,79.44,85.63,91.78,0.92,0.9,0,0,14,14,89,19,12,9,7,0,moderate_visual_structure,EXCELLENT,0.0,0.0,0.162,0.0,MEDIUM_PRIORITY_REVIEW,117,89.45,89,14,14,0,0,19,12,7,0,0,0,0.0,0.162,0.0,HIGH_QUALITY_DOCUMENT
1999 tcs,1107,88.85,97.84,91.85,88.5,83.46,95.47,71.41,91.78,0.89,0.76,0,5,26,297,779,22,25,223,230,202,moderate_visual_structure,EXCELLENT,0.0,0.005,0.02,0.182,LOW_PRIORITY_REVIEW,1107,88.85,779,297,26,5,0,22,25,230,202,7,5,0.005,0.02,1.4,HIGH_QUALITY_DOCUMENT
2001 beyond,100,78.77,83.2,81.7,92.4,85.62,61.18,60.66,91.55,0.86,0.64,0,4,30,24,42,34,18,19,38,29,moderate_visual_structure,GOOD,0.0,0.04,0.34,0.29,HIGH_PRIORITY_REVIEW,100,78.77,42,24,30,4,0,34,18,38,29,8,4,0.04,0.34,2.0,AMBIGUITY_REVIEW
2001 ctc network,109,86.57,91.65,86.7,95.05,90.77,81.51,69.72,90.39,0.82,0.82,0,0,11,28,70,22,4,12,21,33,moderate_visual_structure,EXCELLENT,0.0,0.0,0.202,0.303,MEDIUM_PRIORITY_REVIEW,109,86.57,70,28,11,0,0,22,4,21,33,0,0,0.0,0.202,0.0,HIGH_QUALITY_DOCUMENT
2001 elsfork,119,83.77,92.73,87.56,86.43,82.3,81.43,65.69,91.33,0.86,0.74,0,1,17,38,63,18,9,27,34,68,moderate_visual_structure,GOOD,0.0,0.008,0.151,0.571,MEDIUM_PRIORITY_REVIEW,119,83.77,63,38,17,1,0,18,9,34,68,3,1,0.008,0.151,3.0,GOOD_DOCUMENT
2001 esa,63,86.85,92.7,90.32,92.38,86.44,89.45,81.15,65.51,0.84,0.84,0,1,2,14,46,4,4,11,0,0,moderate_visual_structure,EXCELLENT,0.0,0.016,0.063,0.0,LOW_PRIORITY_REVIEW,63,86.85,46,14,2,1,0,4,4,0,0,1,1,0.016,0.063,1.0,HIGH_QUALITY_DOCUMENT
2001 hats,270,91.77,97.67,93.41,95.37,92.52,93.29,72.94,93.4,0.93,0.8,0,0,11,31,228,9,13,23,17,90,moderate_visual_structure,EXCELLENT,0.0,0.0,0.033,0.333,LOW_PRIORITY_REVIEW,270,91.77,228,31,11,0,0,9,13,17,90,0,0,0.0,0.033,0.0,HIGH_QUALITY_DOCUMENT
2001 space fractions,61,85.29,90.74,87.87,96.89,88.43,76.22,63.56,93.11,0.87,0.67,0,0,11,14,36,11,7,10,26,4,moderate_visual_structure,EXCELLENT,0.0,0.0,0.18,0.066,MEDIUM_PRIORITY_REVIEW,61,85.29,36,14,11,0,0,11,7,26,4,0,0,0.0,0.18,0.0,HIGH_QUALITY_DOCUMENT
2001 telescope,54,84.89,91.57,84.26,93.8,83.06,79.31,76.86,87.76,0.84,0.79,0,2,6,15,31,10,4,13,13,0,moderate_visual_structure,GOOD,0.0,0.037,0.185,0.0,MEDIUM_PRIORITY_REVIEW,54,84.89,31,15,6,2,0,10,4,13,0,2,2,0.037,0.185,1.0,GOOD_DOCUMENT
2002 evla back,162,86.55,95.15,90.86,82.53,81.19,88.11,79.76,91.98,0.86,0.89,0,1,9,55,97,12,12,38,23,25,moderate_visual_structure,EXCELLENT,0.0,0.006,0.074,0.154,LOW_PRIORITY_REVIEW,162,86.55,97,55,9,1,0,12,12,23,25,1,1,0.006,0.074,1.0,HIGH_QUALITY_DOCUMENT
2002 evla corr,82,85.91,94.39,90.49,74.15,76.03,87.56,96.81,92.96,0.86,0.96,0,1,4,23,54,8,4,24,0,0,strong_visual_structure,EXCELLENT,0.0,0.012,0.098,0.0,LOW_PRIORITY_REVIEW,82,85.91,54,23,4,1,0,8,4,0,0,2,1,0.012,0.098,2.0,HIGH_QUALITY_DOCUMENT
2002 sce api,94,84.87,91.76,85.16,95.05,87.26,77.89,67.18,88.99,0.87,0.73,0,0,12,29,53,16,11,15,41,10,moderate_visual_structure,GOOD,0.0,0.0,0.17,0.106,MEDIUM_PRIORITY_REVIEW,94,84.87,53,29,12,0,0,16,11,41,10,1,0,0.0,0.17,0.0,GOOD_DOCUMENT
2003 agentmom,29,89.22,96.55,88.28,89.66,93.44,88.99,74.81,88.41,0.94,0.8,0,1,1,6,21,2,2,2,3,3,moderate_visual_structure,EXCELLENT,0.0,0.034,0.069,0.103,LOW_PRIORITY_REVIEW,29,89.22,21,6,1,1,0,2,2,3,3,1,1,0.034,0.069,1.0,HIGH_QUALITY_DOCUMENT
2003 pnnl,242,86.46,89.13,84.13,96.34,88.77,75.45,88.7,88.79,0.91,0.95,0,3,44,36,159,55,16,36,5,0,moderate_visual_structure,EXCELLENT,0.0,0.012,0.227,0.0,MEDIUM_PRIORITY_REVIEW,242,86.46,159,36,44,3,0,55,16,5,0,4,3,0.012,0.227,1.333,HIGH_QUALITY_DOCUMENT
2003 qheadache,8,93.58,100.0,96.25,92.5,78.6,97.94,96.56,95.5,0.95,0.93,0,0,0,0,8,0,0,2,0,0,strong_visual_structure,EXCELLENT,0.0,0.0,0.0,0.0,LOW_PRIORITY_REVIEW,8,93.58,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,HIGH_QUALITY_DOCUMENT
2003 tachonet,161,86.57,92.98,89.25,88.6,85.47,81.0,81.06,93.14,0.9,0.85,0,1,20,43,97,25,12,29,19,1,moderate_visual_structure,EXCELLENT,0.0,0.006,0.155,0.006,MEDIUM_PRIORITY_REVIEW,161,86.57,97,43,20,1,0,25,12,19,1,2,1,0.006,0.155,2.0,HIGH_QUALITY_DOCUMENT
2004 colorcast,68,80.94,89.41,87.65,76.91,78.55,74.06,74.1,93.47,0.84,0.79,0,4,8,27,29,13,11,17,4,14,moderate_visual_structure,GOOD,0.0,0.059,0.191,0.206,MEDIUM_PRIORITY_REVIEW,68,80.94,29,27,8,4,0,13,11,4,14,4,4,0.059,0.191,1.0,GOOD_DOCUMENT
