doc_id,total_requirements,ambiguous_requirements,clear_requirements,uncertain_ambiguity_requirements,avg_ambiguity_confidence,avg_ambiguous_probability,ambiguity_ratio,uncertain_ambiguity_ratio,ambiguity_quality_flag
0000 cctns,109,59,41,9,0.9240079,0.57436097,0.5412844036697247,0.08256880733944955,high_ambiguity_risk
0000 cctns scanned,33,15,15,3,0.89361596,0.49143103,0.45454545454545453,0.09090909090909091,high_ambiguity_risk
0000 gamma j,123,10,111,2,0.9612598,0.111214526,0.08130081300813008,0.016260162601626018,low_ambiguity_risk
0000 gamma j scanned,56,4,49,3,0.9428024,0.123481154,0.07142857142857142,0.05357142857142857,low_ambiguity_risk
0000 inventory,10,4,6,0,0.9330816,0.4513002,0.4,0.0,high_ambiguity_risk
0000 inventory scanned,7,3,3,1,0.9132606,0.54261196,0.42857142857142855,0.14285714285714285,high_ambiguity_risk
1995 gemini,424,102,276,46,0.9115608,0.31251267,0.24056603773584906,0.10849056603773585,medium_ambiguity_risk
1998 themas,117,19,86,12,0.9207964,0.23264359,0.1623931623931624,0.10256410256410256,medium_ambiguity_risk
1999 tcs,1107,22,1060,25,0.9615777,0.055843975,0.01987353206865402,0.022583559168925023,low_ambiguity_risk
2001 beyond,100,34,48,18,0.8775038,0.43177864,0.34,0.18,medium_ambiguity_risk
2001 ctc network,109,22,83,4,0.9282016,0.20128994,0.2018348623853211,0.03669724770642202,medium_ambiguity_risk
2001 elsfork,119,18,92,9,0.92218643,0.2113069,0.15126050420168066,0.07563025210084033,medium_ambiguity_risk
2001 esa,63,4,55,4,0.9287546,0.12351553,0.06349206349206349,0.06349206349206349,low_ambiguity_risk
2001 hats,270,9,248,13,0.9566919,0.07938504,0.03333333333333333,0.04814814814814815,low_ambiguity_risk
2001 space fractions,61,11,43,7,0.8911741,0.27181625,0.18032786885245902,0.11475409836065574,medium_ambiguity_risk
2001 telescope,54,10,40,4,0.92266095,0.23203726,0.18518518518518517,0.07407407407407407,medium_ambiguity_risk
2002 evla back,162,12,138,12,0.9315562,0.13815042,0.07407407407407407,0.07407407407407407,low_ambiguity_risk
2002 evla corr,82,8,70,4,0.9434712,0.1429277,0.0975609756097561,0.04878048780487805,low_ambiguity_risk
2002 sce api,94,16,67,11,0.8962806,0.25052717,0.1702127659574468,0.11702127659574468,medium_ambiguity_risk
2003 agentmom,29,2,25,2,0.93773496,0.1276854,0.06896551724137931,0.06896551724137931,low_ambiguity_risk
2003 pnnl,242,55,171,16,0.92998946,0.27638176,0.22727272727272727,0.06611570247933884,medium_ambiguity_risk
2003 qheadache,8,0,8,0,0.9706274,0.029372547,0.0,0.0,low_ambiguity_risk
2003 tachonet,161,25,124,12,0.94068617,0.21639363,0.15527950310559005,0.07453416149068323,medium_ambiguity_risk
2004 colorcast,68,13,44,11,0.891566,0.29280555,0.19117647058823528,0.16176470588235295,medium_ambiguity_risk
