feature,raw_value,train_min,train_max,corr_with_score,feature_score_0_10,weight,contribution_pct
Content,0.8,-1.0,1.0,0.6822,9.0,0.1763,25.45
ColorHarmony,0.0,-1.0,1.0,0.5596,5.0,0.1335,14.26
Object,0.2,-1.0,1.0,0.5405,6.0,0.1231,4.28
VividColor,0.0,-1.0,1.0,0.5227,5.0,0.1171,0.05
Light,0.6,-1.0,1.0,0.5773,8.0,0.1111,23.23
DoF,0.6,-1.0,1.0,0.4345,8.0,0.0999,23.73
RuleOfThirds,0.0,-0.8,1.0,0.3564,4.44,0.0745,0.03
BalacingElements,0.2,-0.6,1.0,0.3318,5.0,0.0573,5.35
Repetition,0.0,0.0,1.0,0.1013,0.0,0.041,2.16
MotionBlur,0.0,-1.0,1.0,0.2122,5.0,0.0362,0.43
Symmetry,0.0,0.0,1.0,0.1318,0.0,0.03,1.02
